"Mark"	"Deal Number"	"Acquiror name"	"Target name"	"Deal type"	"Deal method of payment"	"Final stake (%)"	"Acquiror major sector"	"Target major sector"	"Deal status"
"1"	"91314"	"AMERICA ONLINE INC."	"TIME WARNER INC.(OLD)"	"Acquisition 100%"	"Shares"	"100.00000"	"Post and telecommunications"	"Other services"	"Completed"
"2"	"1909123295"	"AT&T INC."	"TIME WARNER INC."	"Acquisition 100%"	"Debt assumed"	"100.00000"	"Post and telecommunications"	"Other services"	"Pending - awaiting regulatory approval"
"3"	"1601434916"	"VERIZON COMMUNICATIONS INC."	"CELLCO PARTNERSHIP INC."	"Acquisition increased from 55% to 100%"	"Shares"	"100.00000"	"Post and telecommunications"	"Post and telecommunications"	"Completed"
"4"	"140036"	"PFIZER INC."	"WARNER-LAMBERT COMPANY"	"Acquisition 100%"	"Shares"	"100.00000"	"Chemicals, rubber, plastics, non-metallic products"	"Chemicals, rubber, plastics, non-metallic products"	"Completed"
"5"	"104390"	"COMCAST CORPORATION"	"AT&T BROADBAND LLC"	"Acquisition 100%"	"Shares"	"100.00000"	"Post and telecommunications"	"Other services"	"Completed"
"6"	"1909060241"	"CCH I LLC"	"TIME WARNER CABLE INC."	"Acquisition 100%"	"Cash assumed"	"100.00000"	"Post and telecommunications"	"Other services"	"Completed"
"7"	"93518"	"COMCAST CORPORATION"	"AT&T BROADBAND LLC"	"Acquisition 100% - Bid 1"	"Shares"	"100.00000"	"Post and telecommunications"	"Other services"	"Withdrawn"
"8"	"1909125088"	"TWENTY-FIRST CENTURY FOX INC."	"TIME WARNER INC."	"Acquisition 100%"	"Cash"	"100.00000"	"Other services"	"Other services"	"Withdrawn"
"9"	"1601483781"	"COMCAST CORPORATION"	"TIME WARNER CABLE INC."	"Acquisition 100%"	"Shares"	"100.00000"	"Post and telecommunications"	"Other services"	"Withdrawn"
"10"	"1909133370"	"KINDER MORGAN INC."	"KINDER MORGAN ENERGY PARTNERS LP"	"Acquisition"	"Debt assumed"	"100.00000"	"Transport"	"Transport"	"Completed"
"11"	"1909098539"	"AT&T INC."	"DIRECTV LLC"	"Acquisition 100%"	"Debt assumed"	"100.00000"	"Post and telecommunications"	"Other services"	"Completed"
"12"	"1909147600"	"DELL TECHNOLOGIES INC."	"EMC CORPORATION"	"Acquisition 100%"	"Shares"	"100.00000"	"Machinery, equipment, furniture, recycling"	"Machinery, equipment, furniture, recycling"	"Completed"
